18.5531  0.010523915  0.000152249  0.000152249  3.7607e-14  4.8023e+23   75    4778    4778  1.27051e+17
18.6531  0.005713434  0.000100587  0.000100587  2.5703e-14  5.202e+23    68    3159    3159  1.22903e+17
18.7531  0.003166274  6.7408e-05   6.7408e-05   1.7932e-14  5.752e+23    47    2162    2162  1.20564e+17
18.8531  0.001750225  4.4893e-05   4.4893e-05   1.2479e-14  6.344e+23    38    1483    1483  1.18839e+17
18.9531  0.000998504  3.0241e-05   3.0241e-05   8.9627e-15  7.2214e+23   39    1052    1052  1.17375e+17
19.0531  0.000525357  1.9871e-05   1.9871e-05   5.9367e-15  7.581e+23    23     699     699  1.17742e+17
19.1531  0.000268475  1.2468e-05   1.2468e-05   3.8194e-15  7.7299e+23   16     451     451  1.18082e+17
19.2531  0.000151658  8.418e-06    8.418e-06    2.7162e-15  8.7123e+23    9     323     323  1.18918e+17
19.3531  7.5352e-05   5.328e-06    5.328e-06    1.699e-15   8.637e+23     9     200     200  1.17719e+17
19.4531  3.2231e-05   3.076e-06    3.076e-06    9.1488e-16  7.3713e+23    3     110     110  1.20234e+17
19.5531  1.0025e-05   1.515e-06    1.515e-06    3.5824e-16  4.5746e+23    0      43      43  1.20031e+17
19.6531  5.044e-06    9.44e-07     9.44e-07     2.2692e-16  4.5925e+23    1      28      28  1.23394e+17
19.7531  3.231e-06    6.61e-07     6.61e-07     1.8299e-16  5.8696e+23    1      23      23  1.2569e+17
19.8531  5.42e-07     3.02e-07     2.41e-07     3.8645e-17  1.9646e+23    0       5       5  1.29384e+17
19.9531  1.67e-07     1.86e-07     1.04e-07     1.499e-17   1.2078e+23    0       2       2  1.33421e+17
20.0531  0.0          8.1e-08      0.0          0.0         0.0           0       0       0  1.33421e+17
20.1531  4.9e-08      8.5e-08      3.1e-08      6.9709e-18  1.4108e+23    0       1       1  1.43454e+17
20.2531  0.0          4.7e-08      0.0          0.0         0.0           0       0       0  1.43454e+17
20.3531  0.0          3.6e-08      0.0          0.0         0.0           0       0       0  1.43454e+17

