18.5531  1.128062478e-02  1.218547109e-04  1.218547109e-04  5.03887e-14  1.005386742e+24  180   8570   8570  1.70077815065679392e+17
18.6531  5.869477935e-03  7.965980445e-05  7.965980445e-05  3.30065e-14  1.043757176e+24  149   5429   5429  1.64482753397058144e+17
18.7531  3.157303920e-03  5.191541614e-05  5.191541614e-05  2.23520e-14  1.120253705e+24   91   3614   3614  1.61685755189692192e+17
18.8531  1.824390787e-03  3.593858770e-05  3.593858770e-05  1.62599e-14  1.291569767e+24   89   2577   2577  1.58488059582162240e+17
18.9531  1.020116911e-03  2.356583343e-05  2.356583343e-05  1.14459e-14  1.440953437e+24   76   1799   1799  1.57174184642535776e+17
19.0531  5.124897407e-04  1.517198611e-05  1.517198611e-05  7.23911e-15  1.444392338e+24   46   1141   1141  1.57616060537828544e+17
19.1531  2.560300690e-04  9.561602021e-06  9.561602021e-06  4.55293e-15  1.439762883e+24   37    717    717  1.57481006736321472e+17
19.2531  1.478915772e-04  6.382259833e-06  6.382259833e-06  3.31088e-15  1.659370789e+24   20    525    525  1.58568114821437216e+17
19.3531  6.642106647e-05  3.867182092e-06  3.867182092e-06  1.87200e-15  1.486982456e+24   20    295    295  1.57585470085470080e+17
19.4531  2.931456454e-05  2.229084426e-06  2.229084426e-06  1.04012e-15  1.309433499e+24    8    165    165  1.58635542052840064e+17
19.5531  9.892707227e-06  1.174048049e-06  1.174048049e-06  4.41891e-16  8.816884597e+23    2     71     71  1.60673107168962496e+17
19.6531  4.993177407e-06  7.362041192e-07  7.362041192e-07  2.80787e-16  8.879264574e+23    3     46     46  1.63825248319900832e+17
19.7531  2.158922383e-06  4.053361237e-07  4.053361237e-07  1.52840e-16  7.660145678e+23    2     25     25  1.63569746139753984e+17
19.8531  1.945321936e-07  1.123106812e-07  1.123106812e-07  1.73377e-17  1.377182464e+23    0      3      3  1.73033331987518528e+17
19.9531  9.965522365e-08  1.139749525e-07  6.368460316e-08  1.11815e-17  1.407667449e+23    0      2      2  1.78866878325806016e+17
20.0531  3.820415267e-08  6.801128959e-08  2.441428912e-08  5.39648e-18  1.076739318e+23    0      1      1  1.85305977229601504e+17
20.1531  0.0000000000000  3.796821783e-08  0.0000000000000  0.000000000  0.0000000000000    0      0      0  1.85305977229601504e+17
20.2531  0.0000000000000  2.902496380e-08  0.0000000000000  0.000000000  0.0000000000000    0      0      0  1.85305977229601504e+17
20.3531  0.0000000000000  2.215490284e-08  0.0000000000000  0.000000000  0.0000000000000    0      0      0  1.85305977229601504e+17

